Tonnage,RAP_Percentage,Trip_Distance,Mix_Type,Fuel_Burn_Liters,CO2_Emissions_Tonnes
409.74,34.73,30.85,WMA,2679.86,14.034
413.34,48.1,80.05,HMA,6910.9,22.068
293.86,43.65,74.56,HMA,4736.74,16.405
336.75,49.03,90.82,WMA,6155.76,20.108
474.83,1.97,72.03,HMA,7580.72,35.981
262.94,15.64,16.45,HMA,1053.63,10.138
486.98,47.21,50.05,WMA,4955.48,18.383
285.1,32.23,66.77,WMA,3881.68,15.124
84.63,34.81,37.29,HMA,692.16,3.303
411.79,26.92,67.86,HMA,5992.52,25.017
327.14,11.65,7.32,WMA,721.92,11.079
133.46,19.2,93.6,HMA,2734.8,10.407
395.23,20.1,50.59,HMA,4349.88,20.881
229.23,4.58,36.96,WMA,1884.69,12.203
99.71,17.73,32.29,WMA,722.97,4.51
174.77,45.52,9.28,HMA,458.98,3.369
148.21,47.5,79.7,HMA,2503.16,8.412
447.89,30.04,90.85,WMA,8144.61,31.013
154.25,47.14,66.72,HMA,2253.77,7.45
71.13,19.2,8.49,WMA,170.93,2.231
76.03,48.46,88.96,HMA,1427.28,4.537
167.11,25.76,51.66,HMA,1795.92,8.524
151.0,11.19,56.01,HMA,1883.93,9.54
255.84,19.56,30.93,HMA,1856.87,11.589
437.96,40.48,67.25,HMA,6387.51,22.77
163.69,0.25,71.09,WMA,2431.23,11.727
149.08,34.16,12.23,HMA,462.77,3.964
282.24,45.33,59.28,WMA,3589.33,12.865
170.16,43.93,80.76,WMA,2784.44,9.263
122.18,16.7,27.68,HMA,787.97,5.343
388.72,7.93,88.68,WMA,7118.71,31.268
52.32,41.0,26.72,HMA,310.52,1.596
424.46,25.37,5.61,WMA,716.52,11.216
301.93,5.79,40.79,WMA,2666.76,16.906
98.14,38.05,56.42,WMA,1210.05,4.683
130.77,37.68,79.94,WMA,2215.27,7.669
185.43,35.41,11.4,WMA,539.97,4.489
83.61,42.62,99.06,HMA,1804.3,5.923
108.54,37.91,7.34,HMA,253.99,2.383
418.45,12.63,5.1,WMA,678.73,14.18
241.78,22.57,20.54,HMA,1225.55,8.812
427.98,38.64,26.86,HMA,2581.17,13.785
117.98,21.62,94.64,WMA,2391.14,9.324
392.04,22.11,34.64,WMA,3083.53,17.122
145.9,1.56,66.91,WMA,2058.56,10.327
294.45,7.96,24.35,HMA,1715.84,13.816
430.15,38.05,64.49,WMA,5703.62,22.237
485.38,9.27,48.9,WMA,4864.04,26.769
358.5,21.52,24.05,HMA,1942.98,13.868
196.67,29.51,46.16,WMA,1932.74,8.742
82.6,19.62,50.59,HMA,921.92,4.52
390.68,47.63,91.24,HMA,7427.32,23.119
158.92,49.33,18.54,WMA,689.67,3.376
205.71,38.79,94.42,HMA,4056.22,13.416
207.78,1.66,12.46,WMA,639.4,9.013
140.39,34.66,83.04,WMA,2340.79,8.363
336.39,35.32,8.0,WMA,762.35,7.868
184.48,46.76,95.0,WMA,3732.37,11.734
416.67,4.01,90.01,WMA,7843.1,34.722
266.41,2.04,20.58,WMA,1214.02,11.887
161.2,7.98,87.82,WMA,2884.23,12.476
384.93,43.59,46.2,WMA,3802.17,15.018
373.64,11.42,99.65,HMA,7740.49,30.289
231.47,11.03,44.75,HMA,2202.03,12.522
440.72,36.36,75.56,WMA,7031.4,26.058
395.48,25.24,56.61,HMA,4831.96,21.335
376.37,24.33,87.98,WMA,7064.11,27.211
496.46,14.19,39.12,HMA,4334.05,25.32
379.9,6.58,73.0,WMA,5848.92,27.471
217.78,25.63,44.24,WMA,2064.63,10.045
441.84,22.27,53.91,HMA,5200.37,23.482
343.46,15.61,42.91,HMA,3272.76,17.663
398.06,6.54,97.13,HMA,7837.83,33.768
248.91,16.54,47.63,WMA,2613.85,13.393
161.92,30.86,72.14,WMA,2405.61,9.355
322.49,17.84,55.68,HMA,3981.99,19.108
313.41,43.41,24.55,HMA,1706.5,8.854
105.34,11.56,9.91,HMA,282.0,3.8
470.24,15.81,53.19,WMA,5402.97,26.625
265.95,34.3,6.65,HMA,574.42,6.379
254.63,25.78,51.44,WMA,2791.62,12.599
109.72,7.18,94.28,WMA,2176.3,9.362
92.26,33.63,47.16,HMA,987.62,4.183
347.73,48.93,40.56,WMA,3042.39,11.655
441.01,28.53,7.89,WMA,1006.77,12.057
320.27,47.04,83.55,WMA,5640.78,17.909
346.03,49.97,9.58,HMA,974.27,6.176
388.59,4.52,32.43,HMA,2938.06,20.244
197.16,33.38,81.75,WMA,3476.23,12.51
441.01,18.78,33.2,HMA,3119.13,19.199
214.91,19.81,71.07,WMA,3207.69,13.813
295.56,22.22,6.39,HMA,620.73,8.762
328.77,23.17,41.08,WMA,3043.02,15.934
461.41,40.69,15.35,HMA,1767.32,11.412
290.12,30.4,77.66,WMA,4807.9,18.482
284.56,41.12,45.93,WMA,2837.39,11.761
159.57,46.35,10.73,HMA,468.96,3.049
124.85,30.87,54.69,WMA,1417.72,6.24
292.62,15.57,62.98,WMA,3834.48,18.447
420.43,26.12,16.71,WMA,1620.5,13.457
369.07,5.34,58.89,WMA,4774.94,24.236
89.17,40.79,40.48,HMA,803.86,3.484
320.73,40.96,89.0,HMA,6140.7,20.804
128.65,18.04,91.06,WMA,2389.71,9.405
401.24,13.74,83.15,WMA,7048.01,30.161
395.0,7.49,45.27,HMA,3763.43,22.446
438.26,10.84,14.09,WMA,1487.3,16.559
142.78,31.9,29.4,HMA,962.92,5.223
494.5,6.82,71.04,HMA,7378.87,34.693
376.03,0.79,37.4,WMA,2932.76,20.915
310.27,13.71,12.54,WMA,991.24,11.375
230.53,18.35,37.64,HMA,1837.15,10.743
80.43,40.02,27.2,HMA,490.41,2.495
356.06,11.54,48.4,WMA,3736.93,20.72
347.83,27.89,74.41,WMA,5309.25,21.23
89.95,48.08,65.32,HMA,1209.73,4.14
93.5,22.52,76.84,HMA,1481.59,6.247
263.7,19.13,16.38,HMA,1037.67,9.684
467.15,27.0,84.99,HMA,7976.17,30.334
404.56,43.23,62.81,WMA,5491.26,19.938
66.27,15.16,30.0,WMA,434.75,2.92
157.57,25.49,83.4,WMA,2714.86,10.63
282.06,45.97,52.21,WMA,3146.64,11.495
275.52,19.86,56.27,HMA,3281.71,15.79
440.63,40.3,80.05,WMA,7570.51,25.948
60.3,7.69,26.24,WMA,371.99,2.87
420.12,6.63,86.89,WMA,7650.29,32.484
454.22,41.47,35.17,HMA,3521.88,15.305
215.39,3.41,7.45,HMA,480.14,8.208
399.53,6.1,61.46,HMA,5233.61,26.276
97.55,32.04,25.52,WMA,566.14,3.296
223.91,28.22,23.22,HMA,1165.07,7.935
76.0,34.75,98.45,HMA,1505.97,5.121
402.21,13.27,21.89,WMA,1929.79,16.436
498.51,40.7,63.45,WMA,6427.99,24.241
431.61,36.22,80.25,HMA,7235.97,25.626
215.49,20.71,83.62,HMA,3733.47,15.436
161.86,6.69,44.77,WMA,1515.44,9.205
111.7,26.77,25.44,HMA,679.77,4.214
139.49,3.23,9.05,HMA,349.85,5.582
254.47,42.22,14.32,WMA,858.32,5.893
159.57,32.59,82.02,HMA,2716.04,10.022
403.26,44.6,95.76,HMA,8173.21,27.072
414.0,3.82,31.54,WMA,2743.68,21.335
257.66,31.86,67.64,HMA,3673.34,14.227
450.23,22.53,88.83,HMA,8557.7,32.96
356.1,2.08,13.06,HMA,1234.0,15.578
97.42,1.78,53.32,WMA,1084.93,6.069
207.37,38.73,67.83,WMA,2903.09,10.733
297.33,41.53,11.53,WMA,833.84,6.24
485.54,14.77,78.08,HMA,8349.58,35.469
54.69,12.77,29.77,HMA,374.68,2.544
68.88,48.42,80.88,WMA,1155.25,3.66
268.71,46.01,54.47,WMA,3147.93,11.153
202.22,46.4,26.34,HMA,1211.8,5.553
224.89,8.18,31.01,WMA,1480.49,10.604
449.12,32.29,32.16,WMA,3118.1,16.952
166.29,27.2,65.43,WMA,2273.44,9.664
377.82,38.82,67.34,HMA,5293.4,19.951
171.2,26.98,74.15,WMA,2551.08,10.455
418.0,10.68,53.06,WMA,4628.91,24.307
391.18,37.17,63.13,WMA,5223.52,20.229
443.0,31.81,77.31,HMA,6959.37,26.645
415.29,37.09,88.74,WMA,7330.07,25.74
410.03,10.2,57.73,WMA,5154.36,25.838
359.55,18.76,56.18,WMA,4058.46,20.073
65.89,37.29,24.24,WMA,370.9,2.064
390.32,42.1,49.68,HMA,4398.48,16.748
251.87,36.1,89.19,HMA,4524.35,16.189
50.85,8.92,7.76,WMA,109.86,1.871
91.85,29.41,50.69,WMA,1012.07,4.389
151.45,35.15,10.02,WMA,407.38,3.766
171.42,41.25,52.33,WMA,1837.1,7.325
385.67,49.1,24.93,WMA,2173.89,9.648
116.35,16.41,46.23,WMA,1135.52,5.911
410.62,38.33,74.69,WMA,6488.05,23.261
336.28,39.28,16.24,WMA,1371.81,8.861
382.99,47.52,24.28,WMA,2075.86,9.607
61.79,1.21,84.01,HMA,1109.12,5.138
402.16,2.81,86.01,WMA,7442.75,33.537
133.75,40.13,48.53,HMA,1434.02,5.771
72.43,45.2,91.39,WMA,1401.69,4.615
121.51,30.51,17.86,HMA,553.65,3.832
56.03,14.14,9.24,WMA,136.05,1.89
457.81,12.48,30.84,WMA,3094.2,21.651
170.66,7.82,86.04,HMA,2939.0,13.263
112.66,26.62,44.05,HMA,1037.98,5.061
379.6,27.42,17.16,WMA,1613.17,11.947
238.46,13.01,74.43,WMA,3879.73,16.523
376.32,9.56,37.13,HMA,3242.12,19.931
207.28,5.7,19.37,WMA,927.92,8.852
357.69,27.26,98.15,HMA,7570.7,27.694
80.45,35.39,56.64,WMA,936.41,3.906
242.88,7.05,68.1,HMA,3561.48,16.867
235.29,32.55,56.82,WMA,2905.34,11.681
210.19,48.9,80.43,HMA,3443.2,11.008
124.12,16.51,76.89,WMA,1892.31,8.055
346.83,8.08,29.27,HMA,2296.7,17.195
397.41,1.36,11.19,WMA,1126.2,16.351
225.83,39.92,40.33,HMA,2066.85,8.708
399.03,48.22,24.36,WMA,2109.97,9.746
390.87,13.82,34.67,HMA,2991.76,19.225
289.86,7.9,71.11,WMA,4164.1,19.962
213.4,44.86,21.04,WMA,997.42,5.181
132.9,44.7,67.16,HMA,1856.05,6.624
485.49,42.84,16.18,HMA,1960.09,12.016
237.99,49.21,68.45,HMA,3387.59,11.619
490.9,32.81,17.33,HMA,2107.05,14.631
373.71,44.51,12.54,HMA,1295.04,8.05
183.42,45.91,15.52,WMA,674.02,3.955
419.74,22.96,38.99,WMA,3654.88,19.816
286.45,12.22,15.73,WMA,1041.15,10.811
113.89,17.4,47.78,WMA,1174.48,6.026
309.76,36.9,81.59,WMA,5504.53,19.594
106.82,33.81,35.88,WMA,793.57,4.04
125.21,32.76,99.22,HMA,2527.66,8.979
362.37,25.63,34.0,HMA,2635.47,15.126
233.74,37.96,90.84,HMA,4551.63,15.848
349.24,13.01,91.18,HMA,6316.14,25.849
225.39,18.98,26.54,HMA,1383.09,9.279
489.56,5.54,45.14,HMA,4773.8,27.392
484.81,6.37,72.23,WMA,7614.31,35.757
412.21,0.9,96.47,HMA,8331.68,36.18
289.7,31.75,47.74,WMA,3011.33,13.402
93.44,12.09,6.18,WMA,171.48,3.213
83.41,11.32,74.37,HMA,1248.32,5.831
433.52,33.39,61.36,HMA,5943.73,23.566
289.09,41.91,32.1,WMA,2058.04,9.691
435.06,26.07,11.05,WMA,1204.89,12.68
381.9,26.26,8.1,HMA,954.75,11.081
307.3,25.87,45.89,WMA,3140.99,14.915
111.89,17.04,20.66,WMA,539.6,4.4
316.26,35.13,27.56,HMA,1922.5,10.345
404.04,48.54,29.95,WMA,2706.07,11.538
277.82,31.71,11.74,HMA,831.03,7.274
321.83,45.37,27.69,WMA,2082.13,9.282
266.92,9.8,63.02,HMA,3568.79,17.407
291.65,42.71,9.7,WMA,717.73,5.709
202.49,40.13,59.34,WMA,2506.76,9.281
175.02,40.83,32.03,HMA,1212.61,5.652
278.34,43.71,51.89,HMA,2969.46,11.345
468.24,8.26,42.04,HMA,4273.01,26.19
371.31,30.4,34.39,HMA,2913.26,15.334
374.63,43.14,5.2,WMA,614.11,6.452
321.71,34.33,15.88,WMA,1264.27,9.113
91.53,29.82,57.21,HMA,1072.43,4.511
209.65,47.09,68.51,HMA,3085.01,10.666
319.41,25.11,18.19,HMA,1433.69,11.141
375.79,6.03,90.73,WMA,7292.06,31.892
419.01,34.74,55.59,HMA,4986.45,20.445
69.68,6.15,58.07,HMA,862.17,4.551
80.32,19.37,85.92,WMA,1456.52,5.742
187.84,39.45,47.41,WMA,1879.31,7.732
310.67,37.97,14.39,HMA,1152.22,7.91
320.48,35.28,70.4,HMA,4774.27,17.616
340.58,2.24,77.38,HMA,5351.86,24.729
340.62,31.85,37.36,HMA,2899.62,14.118
95.57,42.36,55.45,WMA,1089.43,4.275
254.3,34.41,18.35,HMA,1105.99,7.612
289.36,6.79,14.43,WMA,972.63,11.596
122.01,1.17,76.84,HMA,1970.29,9.115
425.97,18.52,40.61,HMA,3947.76,21.36
422.02,49.2,32.4,HMA,2965.13,11.758
486.83,38.68,98.11,HMA,9995.56,33.697
392.86,41.68,46.84,WMA,4060.35,16.321
129.73,25.37,69.35,HMA,1991.91,8.102
206.27,29.02,18.22,HMA,884.8,6.651
143.29,39.12,74.78,WMA,2262.46,8.129
329.3,10.07,42.54,WMA,3118.49,18.204
458.12,6.62,61.34,WMA,6044.49,30.295
441.49,6.53,80.1,WMA,7029.74,32.637
260.05,1.72,97.11,HMA,5239.28,23.149
267.53,43.18,60.93,WMA,3428.41,12.519
303.22,22.06,62.55,WMA,3984.09,17.708
439.51,49.04,43.72,HMA,4237.56,15.71
412.97,23.82,99.63,WMA,8793.81,32.28
431.14,44.65,10.93,WMA,1188.96,8.314
487.19,11.04,74.73,WMA,7576.03,34.444
375.22,34.63,17.77,WMA,1596.5,10.994
200.03,36.65,55.21,WMA,2222.21,9.385
354.57,41.42,32.99,HMA,2503.46,11.465
334.81,3.45,5.54,WMA,600.86,12.824
394.75,42.3,63.29,WMA,5196.63,19.233
176.15,34.37,7.33,HMA,393.03,4.063
413.71,47.38,11.87,HMA,1260.71,8.132
356.79,5.65,85.0,WMA,6423.84,27.422
82.81,20.14,33.05,WMA,622.2,3.66
181.63,7.62,30.29,WMA,1194.71,8.759
151.71,32.02,98.0,HMA,3006.72,10.644
391.83,9.39,73.38,WMA,5970.81,27.539
331.15,3.59,69.85,WMA,4820.23,23.154
186.44,14.5,58.51,WMA,2218.92,11.124
172.13,24.83,32.01,WMA,1251.28,7.236
172.2,20.12,14.76,HMA,646.84,5.814
174.28,35.35,10.96,WMA,491.76,4.257
473.2,4.14,93.43,HMA,9092.34,38.683
429.22,15.67,79.95,HMA,7525.72,31.082
219.79,46.82,69.14,HMA,3275.16,11.059
224.44,31.64,71.87,WMA,3248.01,12.562
443.98,9.14,31.45,HMA,3289.88,22.332
184.12,5.27,79.27,WMA,3188.74,13.912
274.36,19.26,87.25,HMA,4985.99,19.577
215.92,18.49,9.97,HMA,584.49,7.103
237.11,35.98,40.26,WMA,2055.25,9.59
147.08,33.89,62.74,WMA,1919.21,7.843
106.58,36.85,97.59,WMA,2125.75,7.386
139.65,44.51,32.3,HMA,1030.86,4.547
401.91,27.19,14.49,WMA,1352.74,12.032
201.81,0.97,16.81,WMA,769.97,9.095
198.61,45.3,30.33,HMA,1358.92,6.152
283.56,33.88,34.63,WMA,2095.35,10.392
109.18,42.86,59.66,WMA,1409.71,5.242
104.09,13.28,6.67,HMA,218.57,3.571
150.47,32.09,59.21,WMA,1840.6,7.705
488.39,42.35,7.24,HMA,1134.25,9.762
181.01,10.35,19.47,WMA,785.12,7.318
160.97,24.2,76.01,HMA,2619.99,10.55
495.59,11.96,55.42,WMA,5836.19,30.377
84.02,18.28,26.41,WMA,503.56,3.565
431.24,15.76,31.24,HMA,3134.15,20.006
